type,resource_type,resource_status,recommendation,tags,expected_duration,locale,name,creator,description,thumbnail,link,online_link,registration_link,event_address,date_from,date_to
,,,,,,en,The Marriage Talks Part 2 | Love & Respect,Through the Word,"The Marriage Talks is the ideal plan for couples or small groups who want to understand what the Bible says about marriage as they grow their relationship together. Part 2 focuses on two marriage essentials: love and respect. Listen together as Kris Langham guides you through key Bible passages, and discuss together the differences between his and her love languages and respect languages. Great for groups or marital/premarital counseling.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F23312%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/23312-the-marriage-talks-part-2-love-respect,,,,,
resource,reading_plan,,9,,24,,,,,,,,,,,
,,,,,,en,Advent Devotional: Make Room for Jesus,Hope City Church,"Busyness can become the mantra of the holiday season if we are not intentional to make room for Jesus. Over these next 24 days, let's declutter our hearts and minds so we can make room for the gifts of love, joy, hope and peace that our Savior has given us. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F52850%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/52850-advent-devotional-make-room-for-jesus,,,,,
resource,reading_plan,,9,,14,,,,,,,,,,,
,,,,,,en,Attributes of Love by MOPS International,MomCo,"The kind of love Paul describes in 1 Corinthians 13 is hard to imagine — because it is perfect, and we are not. The best way to understand each of these attributes is to see how they are lived out in the life of Jesus. Throughout this study we will take a look at how Jesus put love into action, and how we should fashion our lives after His example. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F29588%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/29588-attributes-of-love-by-mops-international,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Come Home to the Cross by Anne Wilson,Anne Wilson,Come along with Anne Wilson as she explores the meaning of The Cross and the days of Passion Week leading up to the Crucifixion and Resurrection. Let The Cross minister to your soul as she highlights Scriptures that inspired the lyrics of her song and unpacks the truth of Jesus' love during this 5-day study where she meditates on how the love and blood of Christ canceled our sin debt.,https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F57164%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/57164-come-home-to-the-cross-by-anne-wilson,,,,,
resource,reading_plan,,9,,4,,,,,,,,,,,
,,,,,,en,The Heart of Easter,Joyce Meyer Ministries,"When we focus on the final week in the life of Jesus, we see the undeniable love He has for us!  In this 4-part Easter study, you will walk through the days leading up to the Resurrection of Christ and discover amazing truths about Christ’s love for us. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F18505%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/18505-the-heart-of-easter,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
